id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
Z795991852_analog_0032,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,0.745,amide_coupling,"amide_coupling,o_alkylation",Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)O)c3)nnc12,[H]NC1Cc2ccccc2O1,1,0,0,0,0,0,1
Z795991852_analog_0081,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.745,o_alkylation,o_alkylation,BrC1Cc2ccccc2O1,[H]Oc1cccc(Oc2nnc3n(C)c(=O)c4ccccc4n23)c1,0,0,0,0,0,0,1
Z795991852_analog_0017,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)C3Cc4ccccc4O3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C(=O)OC(=O)c1=n-n=c2-n(C)-c(=O)-c3=c-c=c-c=c-3-n-1-2,[H]Oc1ccccc1C,0,0,0,0,0,0,1
gen_0009,COc1cc2nc(-c3cccc(N)c3)nc(N3C(=O)c4ccc(C)cc4C3=O)c2cc1N,0.745,amide_coupling,"amide_coupling,suzuki_miyaura,buchwald_hartwig,o_alkylation",Cc1ccc(C(=O)O)c(C=O)c1,[H]N(C(=O)c1cccc(C)c1)c1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,1,1,1,0,0,0,1
Z795991852_analog_0044,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.745,buchwald_hartwig,"buchwald_hartwig,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(Br)c3)nnc12,[H]NC1Cc2ccccc2O1,0,0,1,0,0,1,1
Z795991852_analog_0020,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC(=O)C4Cc5ccccc5O4)c3)nnc12,0.85,suzuki_miyaura,"suzuki_miyaura,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,O=C(OCc1cccc(B(O)O)c1)C1Cc2ccccc2O1,0,1,0,0,0,0,1
Z795991852_analog_0015,Cn1c(=O)c2ccccc2n2c(Nc3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,1.0,buchwald_hartwig,"buchwald_hartwig,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,[H]Nc1cccc(OC(=O)C2Cc3ccccc3O2)c1,0,0,1,0,0,0,1
gen_0024,COc1cc2nc(-c3cccc(N)c3)nc(NCc3ccc(C)nc3)c2cc1N,0.85,n_alkylation,"suzuki_miyaura,buchwald_hartwig,n_alkylation,o_alkylation",Cc1ccc(CBr)cn1,[H]Nc1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,0,1,1,0,0,1,1
Z795991852_analog_0088,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OCC4Cc5ccccc5O4)c3)nnc12,0.745,o_alkylation,o_alkylation,BrCC1Cc2ccccc2O1,[H]Oc1cccc(Oc2nnc3n(C)c(=O)c4ccccc4n23)c1,0,0,0,0,0,0,1
Z795991852_analog_0026,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",Cn1c(=O)c2ccccc2n2c(C(=O)O)nnc12,[H]Nc1cccc(C2Cc3ccccc3O2)c1,1,0,0,0,0,0,1
