rank,id,smiles,chemotype,primary_site,n_sources,jack_boltz_kd_uM,jack_boltz_prob_binder,onepot_sim_pct,v3_local_rank,v3_scc_rank,v5_g_rank,v1_onepot_rank,orig_F_rank,jack_boltz_rank,site_A_rank,v3_local_vina_min,v3_local_pose,v3_local_pkd,v5_g_vina,v5_g_pose,v5_g_pkd
24,Z795991852_analog_0043,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,4,1.913,0.633,48,54,20,,,,45,35,-8.38,0.6657,6.138,,,
25,Z795991852_analog_0036,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,4,2.044,0.584,,34,22,,,,51,41,-8.32,0.681,6.255,,,
26,Z795991852_analog_0066,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,4,2.115,0.562,49,24,18,,,,52,53,-8.81,0.6878,5.997,,,
27,gen_0043,COc1cc2nc(-c3cccc(N)c3)nc(Oc3ncccn3)c2cc1N,novel_BRICS,A,4,2.473,0.623,,76,,70,,,64,55,-7.17,0.7209,5.875,-5.5,0.6834,5.675
28,gen_0032,COc1cc2nc(-c3cccc(N)c3)nc(-c3cc4ccccc4cc3O)c2cc1N,novel_BRICS,F,4,2.924,0.641,73,14,36,,,,80,48,-8.82,0.6982,6.113,,,
29,Z795991852_analog_0008,O=C(Nc1cccc(-c2cccc(C3Cc4ccccc4O3)c2)c1)C1Cc2ccccc2O1,quinazolinone_chromene_amide,F,4,,,78,1,71,42,,,,1,-8.22,0.7977,6.128,-7.4,0.6352,5.322
30,Z795991852_analog_0052,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,4,,,79,10,17,49,,1,,,-7.82,0.7996,5.572,-6.79,0.6587,5.378
31,Z795991852_analog_0059,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,4,,,54,63,11,,,38,,39,-8.23,0.6533,6.225,,,
32,Z795991852_analog_0030,Cn1c(=O)c2ccccc2n2c(C(=O)NCc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,3,0.432,0.572,,49,64,,,,4,,-8.44,0.665,6.137,,,
33,Z795991852_analog_0023,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,0.622,0.661,,,77,,,,9,50,,,,,,
34,Z795991852_analog_0010,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,3,1.128,0.659,,51,60,,,,19,,-8.54,0.6426,6.362,,,
35,Z795991852_analog_0003,Cn1c(=O)c2ccccc2n2c(-c3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,1.133,0.56,,,,80,,,21,38,,,,-6.88,0.533,6.63
36,FM001452_analog_0130,Nc1cccc(OCc2cccc(S(N)(=O)=O)c2)c1,anilino_benzyl_ether,F,3,1.191,0.301,71,,,1,,3,22,,,,,-5.76,0.882,4.856
37,Z795991852_analog_0031,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,G,3,1.328,0.58,,80,,24,,,23,,-8.05,0.6548,6.102,-7.07,0.5517,6.979
38,Z795991852_analog_0026,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,1.482,0.535,,33,,,,,27,22,-8.36,0.6813,6.226,,,
39,Z795991852_analog_0014,Cn1c(=O)c2ccccc2n2c(-c3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,3,1.495,0.532,,45,68,,,,28,,-8.44,0.6669,6.144,,,
40,Z795991852_analog_0027,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,1.634,0.595,,74,,,,,35,33,-8.63,0.6215,6.262,,,
41,Z795991852_analog_0005,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,3,1.941,0.563,59,31,13,,,,46,,-8.82,0.6536,6.306,,,
42,gen_0003,COc1cc2nc(-c3cccc(N)c3)nc(N3C(=O)c4ccccc4C3=O)c2cc1N,novel_BRICS,A,3,1.943,0.637,,62,,,,,47,44,-8.27,0.6597,6.13,,,
43,gen_0009,COc1cc2nc(-c3cccc(N)c3)nc(N3C(=O)c4ccc(C)cc4C3=O)c2cc1N,novel_BRICS,F,3,2.023,0.627,,29,,,,,49,13,-8.0,0.7122,6.097,,,
44,gen_0007,COc1cc2nc(-c3cccc(N)c3)nc(-n3nc4ccccn4c3=O)c2cc1N,novel_BRICS,A,3,2.431,0.595,42,,,,,8,62,15,,,,,,
45,Z795991852_analog_0033,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,G,3,2.687,0.651,,,66,41,,,70,,,,,-6.87,0.6049,6.092
46,Z795991852_analog_0034,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NCC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,3,2.737,0.604,65,7,48,,,,72,,-8.47,0.7161,6.329,,,
47,Z795991852_analog_0092,Cn1c(=O)c2ccccc2n2c(COCC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,3,2.92,0.493,,68,26,,,,79,,-7.59,0.7421,5.386,,,
48,Z795991852_analog_0002,O=C(Nc1cccc(C2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,quinazolinone_chromene_amide,F,3,,,77,2,,18,,,,3,-8.28,0.8131,5.732,-6.51,0.7566,4.755
49,Z795991852_analog_0011,Cn1c(=O)c2ccccc2n2c(CNC(=O)C3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,3,,,66,5,1,,,7,,,-8.0,0.775,5.976,,,
