id,smiles,status,n_routes,top_route_score,raw_html_snippet,timestamp,error
Z795991852_analog_0012,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC(=O)C4Cc5ccccc5O4)c3)nnc12,ok,50,62,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 62% similari",2026-05-09T13:58:55Z,
Z795991852_analog_0052,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12,ok,50,79,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 79% similari",2026-05-09T13:59:13Z,
Z795991852_analog_0040,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,ok,50,51,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 51% similari",2026-05-09T13:59:31Z,
Z795991852_analog_0048,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,ok,50,53,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 53% similari",2026-05-09T13:59:51Z,
Z795991852_analog_0029,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12,ok,50,66,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 66% similari",2026-05-09T14:00:09Z,
Z795991852_analog_0024,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,ok,50,56,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 56% similari",2026-05-09T14:00:28Z,
Z795991852_analog_0053,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12,ok,50,58,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 58% similari",2026-05-09T14:00:47Z,
Z795991852_analog_0091,Cn1c(=O)c2ccccc2n2c(OCc3cccc(C4Cc5ccccc5O4)c3)nnc12,ok,50,42,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 42% similari",2026-05-09T14:01:03Z,
FM001452_analog_0130,Nc1cccc(OCc2cccc(S(N)(=O)=O)c2)c1,ok,50,71,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 71% similari",2026-05-09T14:01:22Z,
Z795991852_analog_0044,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,ok,50,53,"Query Molecule  Results found  50 molecules  How to purchase:  Click on molecules to select them (you can select multiple) Selected molecules will be highlighted with a checkmark A green banner appears at the bottom when items are selected Enter your email address in the banner Click ""Get a Quote"" to submit your request Our team will contact you within 24 hours with pricing and availability  Note: You can select as many molecules as needed for bulk orders.  Search Results New Search 53% similari",2026-05-09T14:01:39Z,
