cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
Z795991852_analog_0077,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNCC4Cc5ccccc5O4)c3)nnc12,0.8513,0.8988,0.7244,0.8055,0.7244,0.8259,0.8259,0.57,3.712,5.43,0.5168,84.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0077/boltz_results_Z795991852_analog_0077/predictions/Z795991852_analog_0077
Z795991852_analog_0095,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8541,0.8994,0.7586,0.8353,0.7586,0.835,0.835,0.673,4.713,5.327,0.4295,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0095/boltz_results_Z795991852_analog_0095/predictions/Z795991852_analog_0095
Z795991852_analog_0086,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8455,0.9133,0.8331,0.8331,0.8331,0.843,0.843,0.215,1.639,5.785,0.5319,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0086/boltz_results_Z795991852_analog_0086/predictions/Z795991852_analog_0086
Z795991852_analog_0064,ok,Cn1c(=O)c2ccccc2n2c(NCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8483,0.893,0.8055,0.8055,0.8055,0.8397,0.8397,0.719,5.234,5.281,0.5371,82.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0064/boltz_results_Z795991852_analog_0064/predictions/Z795991852_analog_0064
Z795991852_analog_0088,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OCC4Cc5ccccc5O4)c3)nnc12,0.8207,0.8887,0.7082,0.7082,0.7082,0.7982,0.7982,0.581,3.813,5.419,0.5462,83.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0088/boltz_results_Z795991852_analog_0088/predictions/Z795991852_analog_0088
Z795991852_analog_0089,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(OCC4Cc5ccccc5O4)c3)nnc12,0.8927,0.892,0.7525,0.7525,0.7525,0.8647,0.8647,0.478,3.004,5.522,0.5077,83.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0089/boltz_results_Z795991852_analog_0089/predictions/Z795991852_analog_0089
Z795991852_analog_0053,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12,0.8565,0.9023,0.7584,0.7584,0.7584,0.8369,0.8369,0.465,2.916,5.535,0.4963,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0053/boltz_results_Z795991852_analog_0053/predictions/Z795991852_analog_0053
Z795991852_analog_0054,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(CNC4Cc5ccccc5O4)c3)nnc12,0.8547,0.9056,0.8228,0.8228,0.8228,0.8483,0.8483,0.578,3.782,5.422,0.559,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0054/boltz_results_Z795991852_analog_0054/predictions/Z795991852_analog_0054
Z795991852_analog_0094,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(COCC4Cc5ccccc5O4)c3)nnc12,0.8411,0.8982,0.7288,0.7288,0.7288,0.8186,0.8186,0.717,5.215,5.283,0.5437,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0094/boltz_results_Z795991852_analog_0094/predictions/Z795991852_analog_0094
Z795991852_analog_0063,ok,Cn1c(=O)c2ccccc2n2c(NCC3Cc4ccccc4O3)nnc12,0.8647,0.9147,0.8023,0.8023,0.8023,0.8522,0.8522,0.839,6.905,5.161,0.4815,81.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0063/boltz_results_Z795991852_analog_0063/predictions/Z795991852_analog_0063
Z795991852_analog_0090,ok,Cn1c(=O)c2ccccc2n2c(OCC3Cc4ccccc4O3)nnc12,0.8712,0.8973,0.7475,0.7691,0.7475,0.8465,0.8465,0.955,9.013,5.045,0.4536,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0090/boltz_results_Z795991852_analog_0090/predictions/Z795991852_analog_0090
Z795991852_analog_0096,ok,Cn1c(=O)c2ccccc2n2c(C3Cc4ccccc4O3)nnc12,0.8783,0.897,0.7059,0.7059,0.7059,0.8438,0.8438,0.908,8.097,5.092,0.525,81.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0096/boltz_results_Z795991852_analog_0096/predictions/Z795991852_analog_0096
Z795991852_analog_0079,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.845,0.9,0.7721,0.7721,0.7721,0.8305,0.8305,0.376,2.375,5.624,0.4373,81.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0079/boltz_results_Z795991852_analog_0079/predictions/Z795991852_analog_0079
Z795991852_analog_0081,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8541,0.9096,0.7731,0.7731,0.7731,0.8379,0.8379,0.27,1.861,5.73,0.4743,81.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0081/boltz_results_Z795991852_analog_0081/predictions/Z795991852_analog_0081
Z795991852_analog_0030,ok,Cn1c(=O)c2ccccc2n2c(C(=O)NCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.852,0.9011,0.7838,0.7838,0.7838,0.8384,0.8384,-0.358,0.438,6.358,0.572,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0030/boltz_results_Z795991852_analog_0030/predictions/Z795991852_analog_0030
Z795991852_analog_0065,ok,Cn1c(=O)c2ccccc2n2c(NCc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8473,0.9003,0.7282,0.7581,0.7282,0.8235,0.8235,0.601,3.993,5.399,0.5361,81.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0065/boltz_results_Z795991852_analog_0065/predictions/Z795991852_analog_0065
Z795991852_analog_0051,ok,Cn1c(=O)c2ccccc2n2c(NC3Cc4ccccc4O3)nnc12,0.8586,0.9206,0.8302,0.8302,0.8302,0.8529,0.8529,0.723,5.285,5.277,0.5651,81.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0051/boltz_results_Z795991852_analog_0051/predictions/Z795991852_analog_0051
Z795991852_analog_0091,ok,Cn1c(=O)c2ccccc2n2c(OCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8654,0.9017,0.7542,0.7542,0.7542,0.8432,0.8432,0.893,7.82,5.107,0.4644,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0091/boltz_results_Z795991852_analog_0091/predictions/Z795991852_analog_0091
Z795991852_analog_0085,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12,0.8226,0.8958,0.7965,0.7965,0.7965,0.8174,0.8174,0.505,3.2,5.495,0.5689,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0085/boltz_results_Z795991852_analog_0085/predictions/Z795991852_analog_0085
Z795991852_analog_0029,ok,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12,0.8604,0.9034,0.7785,0.8037,0.7785,0.844,0.844,0.26,1.821,5.74,0.4347,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0029/boltz_results_Z795991852_analog_0029/predictions/Z795991852_analog_0029
Z795991852_analog_0046,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8456,0.9025,0.755,0.755,0.755,0.8275,0.8275,0.186,1.535,5.814,0.5506,82.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0046/boltz_results_Z795991852_analog_0046/predictions/Z795991852_analog_0046
Z795991852_analog_0055,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(CNC4Cc5ccccc5O4)c3)nnc12,0.8544,0.8994,0.7902,0.7902,0.7902,0.8416,0.8416,0.722,5.269,5.278,0.6144,82.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0055/boltz_results_Z795991852_analog_0055/predictions/Z795991852_analog_0055
Z795991852_analog_0058,ok,Cn1c(=O)c2ccccc2n2c(NCc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8489,0.9095,0.8266,0.8266,0.8266,0.8445,0.8445,0.712,5.147,5.288,0.5047,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0058/boltz_results_Z795991852_analog_0058/predictions/Z795991852_analog_0058
Z795991852_analog_0080,ok,Cn1c(=O)c2ccccc2n2c(OCc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.829,0.9067,0.8205,0.8205,0.8205,0.8273,0.8273,0.494,3.119,5.506,0.529,83.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0080/boltz_results_Z795991852_analog_0080/predictions/Z795991852_analog_0080
Z795991852_analog_0025,ok,Cn1c(=O)c2ccccc2n2c(C(=O)NC3Cc4ccccc4O3)nnc12,0.8518,0.9059,0.7917,0.7917,0.7917,0.8398,0.8398,0.815,6.531,5.185,0.5147,82.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0025/boltz_results_Z795991852_analog_0025/predictions/Z795991852_analog_0025
Z795991852_analog_0066,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8725,0.8967,0.8002,0.8002,0.8002,0.8581,0.8581,0.317,2.073,5.683,0.5618,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0066/boltz_results_Z795991852_analog_0066/predictions/Z795991852_analog_0066
Z795991852_analog_0068,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(OCC4Cc5ccccc5O4)c3)nnc12,0.8423,0.9044,0.7488,0.7488,0.7488,0.8236,0.8236,0.489,3.081,5.511,0.6129,83.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0068/boltz_results_Z795991852_analog_0068/predictions/Z795991852_analog_0068
Z795991852_analog_0070,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NCC4Cc5ccccc5O4)c3)nnc12,0.8486,0.9097,0.8004,0.8004,0.8004,0.8389,0.8389,0.645,4.414,5.355,0.5836,83.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0070/boltz_results_Z795991852_analog_0070/predictions/Z795991852_analog_0070
Z795991852_analog_0072,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NCC4Cc5ccccc5O4)c3)nnc12,0.831,0.8944,0.7003,0.7003,0.7003,0.8048,0.8048,0.516,3.282,5.484,0.5681,83.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0072/boltz_results_Z795991852_analog_0072/predictions/Z795991852_analog_0072
Z795991852_analog_0074,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(NCC4Cc5ccccc5O4)c3)nnc12,0.8533,0.914,0.7815,0.7815,0.7815,0.839,0.839,0.553,3.573,5.447,0.5267,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0074/boltz_results_Z795991852_analog_0074/predictions/Z795991852_analog_0074
Z795991852_analog_0078,ok,Cn1c(=O)c2ccccc2n2c(OC3Cc4ccccc4O3)nnc12,0.8851,0.9032,0.8074,0.8074,0.8074,0.8696,0.8696,0.933,8.567,5.067,0.5193,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0078/boltz_results_Z795991852_analog_0078/predictions/Z795991852_analog_0078
Z795991852_analog_0084,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC4Cc5ccccc5O4)c3)nnc12,0.8595,0.8734,0.6771,0.6989,0.6771,0.823,0.823,0.762,5.777,5.238,0.457,83.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0084/boltz_results_Z795991852_analog_0084/predictions/Z795991852_analog_0084
Z795991852_analog_0021,ok,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.826,0.8994,0.7726,0.7726,0.7726,0.8153,0.8153,-0.321,0.478,6.321,0.6368,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0021/boltz_results_Z795991852_analog_0021/predictions/Z795991852_analog_0021
Z795991852_analog_0056,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8514,0.9222,0.852,0.852,0.852,0.8515,0.8515,0.812,6.483,5.188,0.4969,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0056/boltz_results_Z795991852_analog_0056/predictions/Z795991852_analog_0056
Z795991852_analog_0059,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8543,0.8898,0.736,0.736,0.736,0.8307,0.8307,0.667,4.644,5.333,0.5454,81.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0059/boltz_results_Z795991852_analog_0059/predictions/Z795991852_analog_0059
Z795991852_analog_0061,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8926,0.8899,0.7244,0.7534,0.7244,0.8589,0.8589,0.562,3.648,5.438,0.5348,81.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0061/boltz_results_Z795991852_analog_0061/predictions/Z795991852_analog_0061
Z795991852_analog_0034,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NCC4Cc5ccccc5O4)c3)nnc12,0.8387,0.884,0.7064,0.7064,0.7064,0.8122,0.8122,0.38,2.401,5.62,0.6054,82.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0034/boltz_results_Z795991852_analog_0034/predictions/Z795991852_analog_0034
Z795991852_analog_0047,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8555,0.8855,0.7285,0.7285,0.7285,0.8301,0.8301,-0.021,0.954,6.021,0.6061,82.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0047/boltz_results_Z795991852_analog_0047/predictions/Z795991852_analog_0047
Z795991852_analog_0076,ok,Cn1c(=O)c2ccccc2n2c(CNCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8664,0.9141,0.8033,0.8033,0.8033,0.8537,0.8537,0.463,2.902,5.537,0.4097,82.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0076/boltz_results_Z795991852_analog_0076/predictions/Z795991852_analog_0076
Z795991852_analog_0032,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,0.8353,0.8942,0.7782,0.7782,0.7782,0.8239,0.8239,0.629,4.251,5.371,0.6253,82.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0032/boltz_results_Z795991852_analog_0032/predictions/Z795991852_analog_0032
Z795991852_analog_0031,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,0.8419,0.8976,0.8098,0.8098,0.8098,0.8355,0.8355,0.242,1.746,5.758,0.5566,82.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0031/boltz_results_Z795991852_analog_0031/predictions/Z795991852_analog_0031
Z795991852_analog_0067,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8497,0.9075,0.7587,0.7587,0.7587,0.8315,0.8315,0.548,3.535,5.452,0.5168,81.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0067/boltz_results_Z795991852_analog_0067/predictions/Z795991852_analog_0067
Z795991852_analog_0075,ok,Cn1c(=O)c2ccccc2n2c(CNCC3Cc4ccccc4O3)nnc12,0.8632,0.9152,0.8249,0.8249,0.8249,0.8555,0.8555,0.76,5.756,5.24,0.4095,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0075/boltz_results_Z795991852_analog_0075/predictions/Z795991852_analog_0075
Z795991852_analog_0014,ok,Cn1c(=O)c2ccccc2n2c(-c3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8645,0.8797,0.7163,0.7163,0.7163,0.8348,0.8348,0.204,1.599,5.796,0.5292,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0014/boltz_results_Z795991852_analog_0014/predictions/Z795991852_analog_0014
Z795991852_analog_0016,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8431,0.8663,0.697,0.697,0.697,0.8139,0.8139,0.206,1.605,5.794,0.5398,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0016/boltz_results_Z795991852_analog_0016/predictions/Z795991852_analog_0016
Z795991852_analog_0022,ok,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8385,0.8951,0.7188,0.7522,0.7188,0.8146,0.8146,-0.067,0.857,6.067,0.6317,93.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0022/boltz_results_Z795991852_analog_0022/predictions/Z795991852_analog_0022
Z795991852_analog_0057,ok,Cn1c(=O)c2ccccc2n2c(OCc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8512,0.9171,0.8431,0.8431,0.8431,0.8496,0.8496,0.636,4.326,5.364,0.5388,81.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0057/boltz_results_Z795991852_analog_0057/predictions/Z795991852_analog_0057
Z795991852_analog_0049,ok,Cn1c(=O)c2ccccc2n2c(C(=O)OCC3Cc4ccccc4O3)nnc12,0.8847,0.9106,0.7718,0.7718,0.7718,0.8621,0.8621,0.491,3.097,5.509,0.4744,81.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0049/boltz_results_Z795991852_analog_0049/predictions/Z795991852_analog_0049
Z795991852_analog_0045,ok,Cn1c(=O)c2ccccc2n2c(C(=O)OC3Cc4ccccc4O3)nnc12,0.8587,0.9092,0.7556,0.7556,0.7556,0.838,0.838,0.782,6.049,5.218,0.5147,80.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0045/boltz_results_Z795991852_analog_0045/predictions/Z795991852_analog_0045
Z795991852_analog_0048,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8775,0.882,0.6974,0.6974,0.6974,0.8415,0.8415,-0.192,0.643,6.192,0.6349,83.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0048/boltz_results_Z795991852_analog_0048/predictions/Z795991852_analog_0048
Z795991852_analog_0069,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(COC4Cc5ccccc5O4)c3)nnc12,0.8478,0.9088,0.7836,0.7836,0.7836,0.8349,0.8349,0.393,2.471,5.607,0.5948,84.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0069/boltz_results_Z795991852_analog_0069/predictions/Z795991852_analog_0069
Z795991852_analog_0039,ok,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8145,0.8731,0.7108,0.7151,0.7108,0.7938,0.7938,-0.475,0.335,6.475,0.7343,83.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0039/boltz_results_Z795991852_analog_0039/predictions/Z795991852_analog_0039
Z795991852_analog_0052,ok,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12,0.8621,0.9033,0.7299,0.7299,0.7299,0.8356,0.8356,0.941,8.727,5.059,0.4566,84.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0052/boltz_results_Z795991852_analog_0052/predictions/Z795991852_analog_0052
Z795991852_analog_0023,ok,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8331,0.9054,0.8376,0.8376,0.8376,0.834,0.834,-0.233,0.584,6.233,0.652,82.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0023/boltz_results_Z795991852_analog_0023/predictions/Z795991852_analog_0023
Z795991852_analog_0050,ok,Cn1c(=O)c2ccccc2n2c(C(=O)OCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8291,0.9086,0.8369,0.8369,0.8369,0.8307,0.8307,0.23,1.699,5.77,0.5244,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0050/boltz_results_Z795991852_analog_0050/predictions/Z795991852_analog_0050
Z795991852_analog_0026,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8602,0.9088,0.8154,0.8154,0.8154,0.8513,0.8513,0.181,1.516,5.819,0.5295,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0026/boltz_results_Z795991852_analog_0026/predictions/Z795991852_analog_0026
Z795991852_analog_0038,ok,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8425,0.8814,0.743,0.7498,0.743,0.8226,0.8226,0.175,1.498,5.825,0.5998,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0038/boltz_results_Z795991852_analog_0038/predictions/Z795991852_analog_0038
Z795991852_analog_0093,ok,Cn1c(=O)c2ccccc2n2c(COCc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8314,0.9059,0.8048,0.8048,0.8048,0.8261,0.8261,0.154,1.425,5.846,0.5619,81.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0093/boltz_results_Z795991852_analog_0093/predictions/Z795991852_analog_0093
Z795991852_analog_0013,ok,Cn1c(=O)c2ccccc2n2c(OC(=O)C3Cc4ccccc4O3)nnc12,0.8496,0.9084,0.7777,0.7777,0.7777,0.8353,0.8353,0.93,8.509,5.07,0.4662,84.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0013/boltz_results_Z795991852_analog_0013/predictions/Z795991852_analog_0013
Z795991852_analog_0041,ok,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.8454,0.8942,0.7913,0.7913,0.7913,0.8346,0.8346,0.154,1.426,5.846,0.613,81.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0041/boltz_results_Z795991852_analog_0041/predictions/Z795991852_analog_0041
Z795991852_analog_0042,ok,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12,0.814,0.8938,0.7702,0.7702,0.7702,0.8052,0.8052,0.239,1.732,5.761,0.6101,82.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0042/boltz_results_Z795991852_analog_0042/predictions/Z795991852_analog_0042
Z795991852_analog_0028,ok,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8232,0.8881,0.6996,0.6996,0.6996,0.7984,0.7984,0.223,1.671,5.777,0.5817,84.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0028/boltz_results_Z795991852_analog_0028/predictions/Z795991852_analog_0028
Z795991852_analog_0073,ok,Cn1c(=O)c2ccccc2n2c(CNc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8492,0.9089,0.8075,0.8075,0.8075,0.8409,0.8409,0.84,6.916,5.16,0.4972,79.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0073/boltz_results_Z795991852_analog_0073/predictions/Z795991852_analog_0073
Z795991852_analog_0087,ok,Cn1c(=O)c2ccccc2n2c(COc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.8878,0.8901,0.7317,0.7317,0.7317,0.8566,0.8566,0.257,1.807,5.743,0.519,80.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0087/boltz_results_Z795991852_analog_0087/predictions/Z795991852_analog_0087
Z795991852_analog_0017,ok,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)C3Cc4ccccc4O3)nnc12,0.8831,0.8873,0.7185,0.7185,0.7185,0.8502,0.8502,0.466,2.927,5.534,0.6005,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0017/boltz_results_Z795991852_analog_0017/predictions/Z795991852_analog_0017
Z795991852_analog_0033,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C(=O)NC4Cc5ccccc5O4)c3)nnc12,0.8508,0.9135,0.7991,0.7991,0.7991,0.8405,0.8405,0.424,2.653,5.576,0.6477,82.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0033/boltz_results_Z795991852_analog_0033/predictions/Z795991852_analog_0033
Z795991852_analog_0062,ok,Cn1c(=O)c2ccccc2n2c(CNc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.8444,0.9222,0.8541,0.8541,0.8541,0.8463,0.8463,0.783,6.067,5.217,0.4846,80.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0062/boltz_results_Z795991852_analog_0062/predictions/Z795991852_analog_0062
Z795991852_analog_0092,ok,Cn1c(=O)c2ccccc2n2c(COCC3Cc4ccccc4O3)nnc12,0.8514,0.9076,0.7551,0.7551,0.7551,0.8322,0.8322,0.474,2.981,5.526,0.4873,82.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0092/boltz_results_Z795991852_analog_0092/predictions/Z795991852_analog_0092
Z795991852_analog_0015,ok,Cn1c(=O)c2ccccc2n2c(Nc3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8472,0.8933,0.7342,0.7342,0.7342,0.8246,0.8246,0.351,2.242,5.649,0.5861,80.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0015/boltz_results_Z795991852_analog_0015/predictions/Z795991852_analog_0015
