id,smiles,tier,boltz_kd_jack_uM,boltz_pb_jack,boltz_kd_scc_uM,boltz_pb_scc,v1_gnina_kd_uM,muni_price_usd,muni_chem_risk,muni_supplier_risk,MW_Da,LogP,HBD,HBA,HA,rings,fused_rings,esol_logS,naar_max_tanimoto,forbidden_motifs,C1_onepot_100,C2_non_covalent,C3a_MW_le_600,C3b_LogP_le_6,C3c_HBD_le_6,C3d_HBA_le_12,C4a_HA_10_30,C4b_HBD_HBA_le_11,C4c_LogP_lt_5,C4d_lt_5_rings,C4e_le_2_fused,C5_no_PAINS,C5b_no_forbidden,C6_naar_tanimoto_lt_085,C7_soluble_logS_gt_neg5
FM002150_analog_0083,O=C(O)COCc1ccc(-c2ccsc2)cc1,T2_SILVER,3.2,0.301,3.256,0.2993,,,,,248.3,3.02,1,3,17,2,0,-4.43,0.559,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0104,Cc1ccccc1COc1cccc(N)c1,T2_SILVER,3.722,0.409,4.973,0.4082,,125,low,medium,213.3,3.16,1,2,16,2,0,-4.43,0.6,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,T2_SILVER,8.157,0.358,8.761,0.3599,,375,high,medium,242.3,2.76,2,2,18,2,0,-4.29,0.538,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1,T3_BRONZE,8.318,0.458,8.171,0.458,,250,medium,medium,276.3,3.91,1,3,21,3,0,-5.97,0.639,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
